tradeId,price,size,side,ts,symbol
1309376470992531461,110465.3,0.2515,buy,1747905598400,BTCUSDT
1309376470992531459,110465.3,0.1163,buy,1747905598400,BTCUSDT
1309376470992531457,110465.3,0.0001,buy,1747905598400,BTCUSDT
1309376469503553540,110465.2,7.4088,sell,1747905598045,BTCUSDT
1309376468580806662,110465.3,0.0009,buy,1747905597825,BTCUSDT
1309376468580806659,110465.3,0.001,buy,1747905597825,BTCUSDT
1309376467741945858,110467.0,0.1429,sell,1747905597625,BTCUSDT
1309376467674836997,110467.0,0.0095,sell,1747905597609,BTCUSDT
1309376466412351489,110467.0,0.0001,sell,1747905597308,BTCUSDT
1309376464122261507,110467.0,0.001,sell,1747905596762,BTCUSDT
1309376464109678603,110467.0,0.01,sell,1747905596759,BTCUSDT
1309376464097095687,110467.0,0.007,sell,1747905596756,BTCUSDT
1309376464046764112,110467.4,0.0083,sell,1747905596744,BTCUSDT
1309376464046764109,110467.5,0.0792,sell,1747905596744,BTCUSDT
1309376463962877969,110467.5,0.011,sell,1747905596724,BTCUSDT
1309376463962877955,110467.5,0.007,sell,1747905596724,BTCUSDT
1309376463933517825,110467.5,0.008,sell,1747905596717,BTCUSDT
1309376463908352004,110467.5,0.008,sell,1747905596711,BTCUSDT
1309376463870603265,110467.5,0.005,sell,1747905596702,BTCUSDT
1309376463845437524,110467.5,0.012,sell,1747905596696,BTCUSDT
1309376463845437513,110467.6,0.0022,sell,1747905596696,BTCUSDT
1309376463845437510,110467.6,0.6008,sell,1747905596696,BTCUSDT
1309376463845437507,110467.6,0.6035,sell,1747905596696,BTCUSDT
1309376463845437504,110467.6,0.6012,sell,1747905596696,BTCUSDT
1309376463816077313,110467.6,0.0017,sell,1747905596689,BTCUSDT
1309376463711219718,110467.7,0.0052,buy,1747905596664,BTCUSDT
1309376463631528114,110467.6,0.6004,sell,1747905596645,BTCUSDT
1309376463631528111,110467.6,0.6006,sell,1747905596645,BTCUSDT
1309376463631528108,110467.6,0.6028,sell,1747905596645,BTCUSDT
1309376457541398605,110467.7,0.0158,buy,1747905595193,BTCUSDT
1309376457541398603,110467.7,0.0067,buy,1747905595193,BTCUSDT
1309376456111140867,110467.7,0.0351,buy,1747905594852,BTCUSDT
1309376456111140865,110467.7,0.04,buy,1747905594852,BTCUSDT
1309376455029010433,110467.7,0.0149,buy,1747905594594,BTCUSDT
1309376452617285633,110467.6,0.0346,sell,1747905594019,BTCUSDT
1309376452504039425,110467.6,0.0346,sell,1747905593992,BTCUSDT
1309376452034277377,110467.7,0.0002,buy,1747905593880,BTCUSDT
1309376451090558993,110467.7,0.0216,buy,1747905593655,BTCUSDT
